id,name,price,brand,code,imag
1772,Chuck 70 High Roswell Rayguns,88,Converse,171167C,https://sneakercon-prodg.s3.amazonaws.com/pictures/converse-Chuck-70-High-Roswell-Rayguns-01-171167C.jpg
1773,Dunk Low Toddler Hyper Cobalt,100,Nike,CW1589 001,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-Dunk-Low-Toddler-Hyper-Cobalt-01-CW1589_001.jpg
1774,Kyrie 7 Chinese New Year,217,Nike,CQ9326 006,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-Kyrie-7-Chinese-New-Year-01-CQ9326_006.jpg
1775,Air Max 95 Greedy 2.0,191,Nike,CJ0589 001,https://sneakercon-prodg.s3.amazonaws.com/pictures/Nike-Air-Max-95-Greedy-2.0-01-CJ0589_001.jpeg
1776,OMN1S Heat Wave,166,New Balance,BBOMNXEP,https://sneakercon-prodg.s3.amazonaws.com/pictures/new-balance-omn-1-s-heat-wave-01-BBOMNXEP.jpg
1777,Air Jordan 6 Retro GS Iron Purple,99,Jordan,543390 508,https://sneakercon-prodg.s3.amazonaws.com/pictures/air-jordan-6-retro-gs-iron-purple-01-543390_508.jpg
1778,Air Jordan 12 GS Reverse Taxi,89,Jordan,153265 017,https://sneakercon-prodg.s3.amazonaws.com/pictures/air-jordan-12-gs-reverse-taxi-01-153265_017.jpg
1779,Air Force 1 Low '07 Team Orange,89,Nike,AA4083 800,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-Air-Force-1-Low-07-Team-Orange-01-AA4083_800.jpg
1780,Air Jordan 5 Trophy Room Ice Blue,1370,Jordan,CI1899 400,https://sneakercon-prodg.s3.amazonaws.com/pictures/air-jordan-5-trophy-room-ice-blue-01-CI1899_400.jpg
1781,Air Force 1 Low Be True,130,Nike,CV0258 100,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-Air-Force-1-Low-Be-True-01-CV0258_100.jpg
1782,Clot x Air Jordan 35 Terra Cotta,350,Air Jordan,DD9322 200,https://sneakercon-prodg.s3.amazonaws.com/pictures/Clot-x-Air-Jordan-35-Terra-Cotta-01-DD9322_200.jpg
1783,Air Jordan 28 Cement Elephant Print,337,Jordan,555109 004,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-28-elephant-pack-cement-grey-white-black-gym-red-01-555109_004.jpg
1784,Jordan Spizike GS  Mint Foam,89,Jordan,535712 015,https://sneakercon-prod.s3.amazonaws.com/pictures/jordan-spizike-gs-mint-foam-01-535712_015.jpg
1785,Air Max Penny 1 University Red 2018,115,Nike,685153 003,https://sneakercon-prodblue.s3.amazonaws.com/pictures/nike-air-max-penny-1-university-red-2018-01-685153_003.jpg
1786,Air Jordan 1 High Retro GS Shadow,250,Jordan,575441 013,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-1-high-gs-shadow-2018-01-575441_013.jpg
1787,Air Jordan 1 High Bred 2001,815,Jordan,136066 061,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-1-high-bred-2001-01-136066_061.jpg
1788,Lebron 7 MVP 2020,160,Nike,CZ8915 100,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-lebron-7-mvp-2020-01-cz8915_100.jpg
1789,Air Jordan 35 Warrior,350,Jordan,DA2625 600,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Jordan-35-Warrior-01-DA2625_600.jpg
1790,Air Max 90 Viotech OG,100,Nike,CD0917 600,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-air-max-90-viotech-og-01-CD0917_600.jpg
1791,Futurepacer Black,148,Adidas,B37266,https://sneakercon-prod.s3.amazonaws.com/pictures/adidas-futurepacer-black-01-B37266.jpg
1792,React Element 87 Neptune Green,50,Nike,AQ1090 005,https://sneakercon-prod.s3.amazonaws.com/pictures/nike-react-element-87-neptune-green-01-AQ1090_005.jpg
1793,827 x Aime Leon Dore Yellow,230,New Balance,ML827ADD,https://sneakercon-prodg.s3.amazonaws.com/pictures/new-balance-827-x-aime-leon-dore-yellow-01-ML827ADD.jpg
1794,Air Fear of God Moccasin Black Fossil,130,Nike,AT8086 002,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-air-fear-of-god-moccasin-01-AT8086_002.jpg
1795,Air Max 95 x Denham Volt,234,Nike,DD9519 001,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Max-95-x-Denham-Volt-01-DD9519_001.jpg
1796,Air Jordan 13 Retro GS Altitude 2017,82,Jordan,414574 042,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-13-gs-altitude-01-414574_042.jpg
1797,Air Jordan 1 Low Grade School Triple White,99,Air Jordan,553560 130,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Jordan-1-Low-Grade-School-Triple-White-01-553560_130.jpg
1798,Kybrid S2 What The USA,120,Nike,CQ9323 400,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-Kybrid-S2-What-The-USA-01-CQ9323_400.jpg
1799,Air Jordan 5 Retro GS Hornets,99,Jordan,440888 405,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-5-gs-hornets-01-440888_405.jpg
1800,Air Jordan 9 Retro Cool Grey 2002,475,Jordan,302370 011,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-9-2002-Cool-Grey-01-302370_011.jpg
1801,Dunk Low Pre School White Black,150,Nike,CW1588 100,https://sneakercon-prodg.s3.amazonaws.com/pictures/Nike-Dunk-Low-Pre-School-White-Black-01-CW1588_100.jpg
1802,LeBron 17 Black White,115,Nike,BQ3177 002,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-lebron-17-black-white-01-BQ3177_002.jpg
1803,Space Hippie 04 Wmns Grey Volt,110,Nike,CD3476 001,https://sneakercon-prodg.s3.amazonaws.com/pictures/Space-Hippie-04-WMNS-Grey-Volt-01--CD3476_001.jpg
1804,Air Huarache x Stussy Toddler Desert Oak,90,Nike,DH3323 200,https://sneakercon-prodg.s3.amazonaws.com/pictures/Stussy-x-Nike-Air-Huarache-Toddler-Desert-Oak-01-DH3323_200.jpg
1805,Lebron 7 Dunkman,272,Nike,375664 006,https://sneakercon-prod.s3.amazonaws.com/pictures/nike-lebron-7-dunkman-01-375664_006.jpg
1806,Dunk High Premium SB Northern Lights,292,Nike,313171 063,https://sneakercon-prod.s3.amazonaws.com/pictures/nike-dunk-hi-sb-nothern-lights-01-313171_063.jpg
1807,Undercover x Overbreak SP Fossil,230,Nike,DD1789 200,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-Undercover-x-Overbreak-SP-Fossil-01-DD1789_200.jpg
1808,Air Jordan 13 Retro GS Black White Gum,99,Jordan,439358 021,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-13-gs-gum-soles-01-439358_021.jpg
1809,Yeezy Boost 700 Teal Blue,400,Adidas,FW2499,https://sneakercon-prodg.s3.amazonaws.com/pictures/adidas-yeezy-boost-700-teal-blue-01-FW2499.jpg
1810,Yeezy Boost 380 Kids Onyx Non-Reflective,250,Adidas,FZ4418,https://sneakercon-prodg.s3.amazonaws.com/pictures/Adidas-Yeezy-Boost-380-Kids-Onyx-Non-Reflective-01-FZ4418.jpg
1811,Air Jordan 1 Low Grade School Pine Green,254,Jordan,553560 301,https://sneakercon-prodg.s3.amazonaws.com/pictures/jordan-air-jordan-1-low-gs-pine-green-01-553560_301.jpg
